values	seconds
1	3.0
2	3.0
3	3.0
4	3.0
5	3.0
6	3.0
7	3.0
8	3.0
9	3.0
1	2.975
2	2.975
3	2.975
4	2.975
5	2.975
6	2.975
7	2.975
8	2.975
9	2.975
1	2.95
2	2.95
3	2.95
4	2.95
5	2.95
6	2.95
7	2.95
8	2.95
9	2.95
1	2.925
2	2.925
3	2.925
4	2.925
5	2.925
6	2.925
7	2.925
8	2.925
9	2.925
1	2.9
2	2.9
3	2.9
4	2.9
5	2.9
6	2.9
7	2.9
8	2.9
9	2.9
1	2.875
2	2.875
3	2.875
4	2.875
5	2.875
6	2.875
7	2.875
8	2.875
9	2.875
1	2.85
2	2.85
3	2.85
4	2.85
5	2.85
6	2.85
7	2.85
8	2.85
9	2.85
1	2.825
2	2.825
3	2.825
4	2.825
5	2.825
6	2.825
7	2.825
8	2.825
9	2.825
1	2.8
2	2.8
3	2.8
4	2.8
5	2.8
6	2.8
7	2.8
8	2.8
9	2.8
1	2.775
2	2.775
3	2.775
4	2.775
5	2.775
6	2.775
7	2.775
8	2.775
9	2.775
1	2.75
2	2.75
3	2.75
4	2.75
5	2.75
6	2.75
7	2.75
8	2.75
9	2.75
1	2.725
2	2.725
3	2.725
4	2.725
5	2.725
6	2.725
7	2.725
8	2.725
9	2.725
1	2.7
2	2.7
3	2.7
4	2.7
5	2.7
6	2.7
7	2.7
8	2.7
9	2.7
1	2.675
2	2.675
3	2.675
4	2.675
5	2.675
6	2.675
7	2.675
8	2.675
9	2.675
1	2.65
2	2.65
3	2.65
4	2.65
5	2.65
6	2.65
7	2.65
8	2.65
9	2.65
1	2.625
2	2.625
3	2.625
4	2.625
5	2.625
6	2.625
7	2.625
8	2.625
9	2.625
1	2.6
2	2.6
3	2.6
4	2.6
5	2.6
6	2.6
7	2.6
8	2.6
9	2.6
1	2.575
2	2.575
3	2.575
4	2.575
5	2.575
6	2.575
7	2.575
8	2.575
9	2.575
1	2.55
2	2.55
3	2.55
4	2.55
5	2.55
6	2.55
7	2.55
8	2.55
9	2.55
1	2.525
2	2.525
3	2.525
4	2.525
5	2.525
6	2.525
7	2.525
8	2.525
9	2.525
